大类,问题的根因,问题的症状描述
bug,版本过时或未更新,第三方copyright notice需要更新
bug,接口兼容性错误,请求格式不兼容导致接口报错
bug,数据格式不支持,数据格式错误（如bf16不支持）
bug,并行配置错误,并行读取配置不合理导致算子错误
bug,文档未同步,模型列表或API中英文不一致
bug,资源缺失,权重下载失败或文件缺失
bug,代码逻辑错误,算子融合失败、进程冲突或参数缺失
bug,配置参数错误,参数设置错误导致训练或推理异常
bug,环境依赖问题,Python版本或依赖版本不匹配
bug,动态shape支持不足,动态输入导致IR图执行失败
bug,内存管理问题,全自动并行场景下内存突增
bug,量化配置错误,量化和SLora特性影响网络精度
bug,测试用例缺失,转换脚本缺乏测试用例看护
bug,文件权限问题,编译时文件权限错误导致更新失败
bug,开源声明问题,开源声明位置错误或缺失
bug,代理配置问题,Docker镜像拉取失败
bug,数据预处理错误,数据集加载失败或预处理报错
bug,注释或文档格式错误,API注释缩进错误或展示效果异常
bug,模块导入错误,模块导入失败导致预训练中断
bug,日志记录错误,日志内容写入错误或格式异常
bug,配置缺失或错误,新增配置项未维护到模板中导致问题
bug,并行处理逻辑错误,并行训练或推理时出现报错或校验失败
bug,参数初始化问题,权重重复初始化或参数冗余调用导致错误
bug,数据路径配置错误,文件路径注册错误或策略文件缺失
bug,代码逻辑不一致,条件判断取值逻辑不统一导致异常
bug,版本兼容性问题,特定版本安装时出现类型错误或不支持参数
bug,文档内容错误,文档链接失效/步骤错误/拼写错误
bug,算子支持缺失,配置文件缺少必要算子的支持
bug,内存管理问题,模型运行过程中出现内存溢出(OOM)
bug,精度对齐问题,配置不当导致精度不一致或性能劣化
bug,资源分配错误,显存/算力分配不当导致内核启动失败
bug,随机性缺失,推理时输出结果缺乏必要的随机性
bug,监控功能异常,profiler未记录关键性能指标信息
bug,注册机制缺陷,数据集注册路径错误导致处理失败
bug,索引越界错误,节点输出索引超出有效范围
bug,编译配置错误,特定场景下编译过程报错
bug,压缩参数不匹配,数据集预处理参数不一致导致推理异常
bug,回调函数错误,专家系统回调函数命名错误导致异常
bug,序列处理错误,位置编码参数设置冲突导致校验失败
bug,模型转换缺陷,缺少必要的模型转换脚本支持
bug,配置参数错误,配置文件设置错误或参数不匹配导致功能异常
bug,文档描述不一致,文档/示例代码与实际功能存在差异导致执行失败
bug,环境依赖问题,缺少必要模块/版本不兼容导致导入或运行报错
bug,日志输出不完善,日志信息缺失或冗余导致调试困难
bug,并行计算配置错误,显存占用异常或分布式训练下发性能低下
bug,模型权重处理异常,权重合并/转换时出现数值错误或维度不匹配
bug,算子实现缺陷,张量维度/类型错误导致模型推理或训练崩溃
bug,数据加载逻辑错误,不同参数下数据采样方式不一致导致结果异常
bug,API兼容性问题,接口变更未适配导致测试用例或功能调用失败
bug,模型架构缺陷,特定配置下出现loss异常（如NaN或突发增大）
bug,路径配置错误,文件路径指定错误导致资源加载失败
bug,字符编码问题,推理结果出现乱码或文本处理异常
bug,弃用机制不完善,使用废弃接口时缺少明确提示信息
bug,量化部署缺陷,后量化过程报错或推理时延/精度异常
bug,测试用例缺陷,测试用例位置/校验逻辑错误导致门禁报错
bug,算子缺失或不支持,模型推理时出现Unsupported op错误
bug,代码接口不同步,Profile类判断条件与接口不匹配导致stack信息收集失败
bug,重复实例化流程,校验报错导致pipeline_stages值被改写
bug,文档与实际配置不一致,yaml文件与运行脚本路径不匹配
bug,模块导入缺失,测试用例无法通过
bug,路径配置错误,权重转换指令无法执行
bug,输入布局模式错误,单机多卡推理出现RuntimeError
bug,接口调用顺序错误,校验失败
bug,内存管理错误,全量微调出现内存错误
bug,代码实现错误,保存词表时参数传递错误
bug,参数配置不当,单卡运行微调失败
bug,文件缺失,模型预测时文件不存在
bug,资源分配错误,微调时出现OOM问题
bug,配置文件错误,全量微调过程报错
bug,请求解析错误,无法解析JSON上下文
bug,镜像构建失败,无法创建模型实例
bug,第三方库兼容性问题,numpy警告导致推理报错
bug,环境变量配置错误,PD分离/混布模型实例报错
bug,权重文件格式错误,单safetensors文件校验失败
bug,命令行参数错误,权重转换脚本报AttributeError
bug,日志格式错误,micro_batch_interleave_num输出为%s
bug,版本控制错误,日志打印不准确
bug,参数缺失,权重转换指令运行失败
bug,安装包缺失,mindie启动缺少依赖文件
bug,配置文件名错误,评测配置文件名称不匹配
bug,并行模式配置错误,静态图模式不符合预期
bug,显存分配错误,分布式训练显存溢出
bug,环境配置错误,运行脚本时报错
bug,云平台兼容性问题,ModelArts训练失败
bug,流同步失败,模型推理同步错误
bug,终止条件无效,无法提前停止推理输出
bug,配置冲突,同时配置sink_size和FlopsUtil导致报错
bug,容器网络配置错误,多机多卡操作报错
bug,依赖库缺失,启动缺少libpython库
bug,数值处理错误,量化推理时数值拆分失败
bug,优化器缺失,找不到AdamWeightDecayX类
bug,版本兼容性错误,权重转换失败
bug,数据校验缺失,打印时延数据影响推理
bug,第三方库版本冲突,numpy版本导致微调报错
bug,硬件兼容性问题,昇腾单卡运行报错
bug,模型完整性错误,GLM3微调报错
bug,类属性缺失,测试用例提示No Attribute错误
bug,权重加载错误,模型推理加载权重失败
bug,参数格式错误,权重转换时数值错误
bug,配置文件缺失,缺少/config.json文件
bug,微调后遗症,合并权重后推理乱码
bug,多卡配置错误,双卡推理报错
bug,样例文件缺失,缺少predict_glm2_6b.yaml
bug,代码逻辑错误,原权重推理报错
bug,数据集下载不完整,wget仅下载部分数据
bug,模型转换工具缺陷,从HuggingFace到MindFormers或反向转换时出现结果不一致或报错
bug,显存资源不足,推理时因显存不足导致失败
bug,环境配置不兼容,运行时报错或输出乱码，可能由于环境变量、路径权限或依赖库问题导致
bug,文档与实现不一致,文档描述的参数、功能或支持范围与实际软件行为不符，导致用户操作错误
bug,代码逻辑错误,程序执行时因函数调用错误、参数设置不当或逻辑缺陷导致报错或卡死
bug,并行计算问题,多卡训练或推理时因并行策略或通信问题导致失败或性能异常
bug,数据格式或编码不兼容,数据预处理或转换过程中出现乱码或格式错误
bug,版本依赖冲突,因Transformers、MindFormers等组件版本不匹配导致功能异常
bug,资源管理缺陷,训练时因显存溢出、磁盘空间不足或权重保存异常导致中断
bug,算子支持限制,特定硬件（如CPU/Ascend）不支持某些算子导致推理或训练失败
bug,工具功能异常,吞吐率统计错误或配置文件生成工具失效
bug,类型转换错误,传入参数类型不匹配导致程序异常终止
bug,初始化失败,因权限问题或硬件适配问题导致Endpoint、HCCL图等初始化失败
bug,静态图执行精度问题,开启特定并行策略后出现精度不一致
bug,打印信息错误,日志中显示的epoch信息或保存提示信息不准确
bug,模型权重转换错误,模型转换成ckpt后推理结果异常
bug,权重未正确加载,微调后推理乱码或报错
bug,模型结构不匹配,预定义模型结构与加载的ckpt不匹配导致输出异常
bug,版本兼容性问题,框架/环境版本不匹配导致算子不支持或运行报错
bug,配置文件错误,版本配套关系/文档说明错误导致用户疑惑或执行失败
bug,算子初始化失败,特定操作符（如Gather/Reshape）初始化失败导致报错
bug,并行处理错误,模型拆分合并时维度不匹配导致推理异常
bug,文件路径缺失,缺少配置文件（如config.json/tokenizer.json）导致任务中断
bug,权重合并失败,微调后权重未正确合并导致文件混乱无法使用
bug,依赖库不匹配,依赖库版本/环境配置不当导致推理乱码或报错
bug,训练过程异常,训练时出现掉卡/类型错误/形状广播失败等问题
bug,代码逻辑错误,图形编译失败/样例代码错误导致RuntimeError或ImportError
bug,可视化功能异常,SummaryMonitor无法可视化训练数据（如loss）
bug,内存管理问题,指针为空导致训练报错或出现Segmentation fault
bug,容器执行错误,容器内执行命令时因环境变量/日志路径设置失败
bug,文件写入错误,数据集转换/训练时配置问题导致无法写入
bug,数据类型或格式转换问题,推理过程中不支持np.int64类型数据导致流式推理报错
bug,配置文件参数错误,yaml文件配置不正确导致模型并行计算问题
bug,软件版本兼容性问题,MindSpore版本2.3.0与mindformers版本1.3.0冲突导致预训练报错
bug,函数参数调用错误,训练过程中因函数参数错误导致报错
bug,推理参数配置不当,Generation Config参数设置不当导致推理结果重复或不相关
bug,权重转换错误,模型权重转换过程中出现数据类型或格式问题
bug,环境配置不匹配,硬件环境与软件配置不兼容导致运行报错
bug,文件路径缺失,版本分支缺少必要目录导致无法找到conberter.py等文件
bug,依赖包安装失败,镜像环境中无法安装sympy模块导致验证失败
bug,网络通讯问题,调用aclnnCast失败可能因网络或数据传输问题导致
bug,脚本参数设置错误,启动单机多卡训练脚本时参数配置错误
bug,参数连续性要求,权重切分时device_num参数连续性不符合导致操作失败
bug,资源链接失效,数据集下载链接403错误导致无法获取数据
bug,模型结构错误,qwen2.5训练时出现结构定义错误
bug,显存管理问题,seq设置不当导致显存溢出错误
bug,配置文件参数缺失,yaml文件缺少必要参数导致多卡微调失败
bug,内存资源不足,设备内存不足导致运行中断
bug,模型微调失效,全参微调后评估分数远低于预期效果
bug,策略参数冲突,`src_strategy`和`dst_strategy`参数同时为None引发错误
bug,版本兼容性问题,numpy版本不兼容导致数据集处理错误
bug,内存分配错误,内存分配失败导致静态TLS块无法分配
bug,参数形状不匹配,推理时参数形状不匹配引发RuntimeError
bug,关键字参数错误,传入未知关键字参数'sparse_mode'导致TypeError
bug,数据格式错误,数据集列名缺失导致"labels con not found in schema"错误
bug,检查点文件异常,数值错误导致checkpoint文件不受支持
bug,类型比较错误,NoneType与int类型比较引发TypeError
bug,参数逻辑错误,参数设置或代码逻辑问题导致维度累积不匹配
bug,类注册失败,无法在注册表中找到指定类导致ValueError
bug,预测执行失败,模型预测过程中出现RuntimeError
bug,参数维度不匹配,加载检查点时参数维度不匹配导致错误
bug,参数格式错误,优化器参数格式不符合预期
bug,图循环错误,运行时出现图循环存在错误
bug,关键字参数不识别,jit_config参数不被识别导致训练报错
bug,内存释放问题,推理停止后内存占用无法释放
bug,脚本执行错误,脚本编写错误或环境配置问题导致运行失败
bug,并行参数设置问题,use_parallel参数未正确设置导致配置不生效
bug,显存不足问题,微调大模型时显存不足导致失败
bug,硬件算子支持问题,Ascend310上不支持相关算子导致推理错误
bug,镜像配置错误,镜像配置错误导致模块报错
bug,数据集文件缺失,alpaca_data.json文件不存在导致无法访问
bug,文档链接失效,AutoClass使用教程链接404
bug,API教程失效,Trainer API使用教程链接失效
bug,推理执行错误,单卡推理时出现rtKernelLaunchWithHandleV2错误
bug,网络通讯问题,模型下载时出现网络连接失败
bug,配置错误,双机16卡训练时出现OOM错误
bug,模型推理逻辑错误,推理后输出重复
bug,依赖库或版本兼容性问题,训练时出现numpy版本相关错误
bug,配置文件缺失或错误,单机多卡推理报错提示缺少数据集文件
bug,内存管理不足,模型预测时内存爆满
bug,分布式训练保存逻辑错误,多机多卡训练时少保存checkpoint
bug,内存配置错误,单机8卡训练出现内存不足错误
bug,路径配置错误,预测过程中因文件路径错误无法运行
bug,数据预处理逻辑错误,数据长度超出预期导致异常
bug,数值类型处理错误,运行时出现数值类型错误
bug,硬件支持缺失,执行代码时只支持特定硬件类型
bug,微调参数错误,全参微调时出现RuntimeError
bug,微调后模型异常,推理结果输出重复信息
bug,参数设置错误,单卡微调过程报错
bug,日志文件冲突,卡训练时因日志冲突无法拉起
bug,数据类型转换错误,权重转换时出现Tensor类型异常
bug,配置文件解析错误,hccl_tools.py运行时KeyError
bug,推理参数冲突,设置use_past=True时出现段错误
bug,模型结构错误,embedding_table缺失导致段错误
bug,分布式服务配置错误,多节点数据缓存服务报错
bug,接口参数缺失,推理过程中缺少必要参数报错
bug,分布式通信配置错误,多卡训练时卡间通信失败
bug,环境版本不匹配,部署时因系统版本不兼容报错
bug,硬件性能不足,推理速度显著低于预期
bug,并行策略冲突,混合并行时出现运行报错
bug,部署配置错误,web服务无法正常启动
bug,接口属性缺失,训练时缺少必要方法属性
bug,显存资源不足,全参微调时显存溢出
bug,精度对齐问题,推理生成文本无法对齐及乱码
bug,模型参数不匹配,加载权重时报错
bug,特性适配问题,开启Flash Attention后仍报错
bug,分布式权重加载错误,微调后分布式推理失败
bug,服务启动参数错误,双卡推理启动报错
bug,推理框架配置错误,lite推理参数设置错误
bug,多卡推理配置缺失,无法执行多卡推理操作
bug,算子精度差异,静态图算子输出未对齐
bug,训练资源配置不足,双卡训练内存不足
bug,程序段错误,单卡/多卡推理出现段错误
bug,分布式通信异常,微调时管道破裂错误
bug,权重转换逻辑错误,转换权重时数据类型异常
bug,预训练模式错误,预训练时报模式选择错误
bug,微调效果异常,微调后推理结果质量差
bug,动态组网资源耗尽,动态组网时内存耗尽
bug,云环境资源不足,云服务器训练内存池不足
bug,代码调用错误,全参微调时函数调用异常
bug,文档更新延迟,README未更新模型支持信息
bug,策略生成逻辑错误,生成策略文件时报错
bug,输入数据格式错误,生成rank文件时输入格式异常
bug,环境配置错误,运行模型时出现模块导入错误、HCCL初始化模式不匹配、NPU驱动版本与固件版本不匹配、软件版本不兼容导致推理错误
bug,资源管理问题,推理过程中出现OOM（内存溢出）导致服务器宕机，aicore利用率为0导致推理速度慢，分布式任务仅在0号卡分配
bug,代码逻辑错误,参数名未正确替换、变量内存设置超出范围、权重切分策略生成错误、MatMul运算维度不匹配、离线权重切分设置错误
bug,参数配置错误,未传入必要参数（如train_dataset_dir）、参数默认值与描述不一致、模型并行数设置错误、checkpoint路径未指定导致推理效果差
bug,数据转换错误,数据预处理脚本报错、数据转换代码存在逻辑问题导致转换失败、json数据类型解析错误
bug,权重处理异常,权重加载报错导致乱码、权重转换过程中出现无法识别的层、权重合并维度不匹配、镜像拉取失败导致模型加载错误
bug,硬件兼容性问题,特定硬件设备（如Atlas 300I Pro/800T A2/910B）上出现运行错误、AI CPU操作执行超时、CANN版本与硬件不兼容
bug,分布式执行异常,单机多卡运行时配置错误、多节点全参微调初始化失败、多卡推理需要广播但执行失败
bug,模型推理逻辑缺陷,复杂格式prompt处理精度异常、微调后模型推理结果重复、推理服务封装配置错误导致服务异常
bug,文档/接口不一致,文档描述与代码实现不符（如百川7B文档错误）、模型配置缺失导致接口调用失败
bug,环境配置不兼容,使用特定硬件或软件版本运行时出现报错
bug,代码逻辑错误,权重转换、模型训练或数据预处理过程中参数传递或路径配置错误
bug,内存不足,内存分配失败导致进程被终止或无提示退出
bug,依赖版本冲突,依赖库版本不兼容导致属性缺失或算子不支持
bug,设备驱动或硬件问题,设备初始化失败、通信超时或NPU调用异常
bug,动态shape支持不足,模型编译时因动态shape导致崩溃
bug,文档或指引错误,路径配置缺失、参数说明不全或示例代码不准确
bug,并发处理缺陷,流式输出结果互相串扰或分布式训练异常
bug,数据格式错误,输入数据缺少必要参数（如attention_mask）导致计算异常
bug,资源分配问题,多机多卡训练时目录识别失败或通信异常
bug,模型权重问题,转换后的权重文件格式错误或功能异常
bug,数值计算错误,训练过程中出现数值错误或loss显示异常
bug,拼写或语法错误,代码中存在拼写错误导致功能异常
bug,配置错误,运行时报错（如导入模块失败、环境变量配置问题）
bug,代码逻辑错误,推理结果异常（如结果混乱、终止符未生效、乱码）
bug,资源不足,内存不足导致Out of Memory错误或编译失败
bug,版本不兼容,代码/环境版本冲突导致模块导入失败或功能异常
bug,依赖缺失,缺少必要软件包/库导致部署失败（如live555）
bug,参数设置错误,训练过程异常（如loss为0、模型卡在初始化阶段）
bug,路径错误,文件/目录路径错误导致找不到配置文件或数据
bug,分布式配置错误,分布式训练时节点注册失败或策略文件缺失
bug,硬件环境问题,特定硬件设备（如910B/A800）运行时报错或核心转储
bug,数据预处理错误,数据集转换失败或参数设置错误
bug,API调用异常,接口调用格式错误导致流式处理失败
bug,运算符缺失,计算图构建时缺少必要运算符信息
bug,内存管理错误,设备内存分配失败导致推理中断
bug,并行化问题,多卡运行时进程同步失败或策略错误
bug,模型转换错误,模型权重加载异常导致推理崩溃
bug,环境配置问题,推理速度缓慢
bug,代码逻辑错误,数值错误（ValueError）
bug,依赖或镜像问题,镜像无法拉取
bug,文档描述错误,启动命令错误或路径问题
bug,资源不足,内存不足（Out of Memory）
bug,权重转换错误,推理时报权重权限问题
bug,并行处理配置错误,分布式推理报错或性能异常
bug,软件版本不兼容,导入模块失败（如ImportError）
bug,模型超参设置不当,生成病句或回答混乱
bug,数据处理错误,数据集转换异常（如导入tik失败）
bug,硬件兼容性问题,昇腾适配警告或数值问题
bug,训练配置错误,流水线并行报错或初始化失败
bug,参数设置错误,类型错误（TypeError）或输入超长
bug,上下文管理错误,推理时未释放上次请求的上下文
bug,代码逻辑缺陷,进程报错后未正常退出
bug,模型权重问题,推理结果为空或权重大小异常
bug,环境初始化失败,Ascend collective通信初始化报错
bug,输入处理异常,关闭增量推理导致答案异常
bug,权限配置问题,权重文件权限设置错误
bug,操作系统兼容性问题,推理时报错与系统环境相关
bug,内存管理问题,训练或推理过程中出现内存不足、内存溢出或无法分配内存的错误
bug,参数配置错误,参数名称、值或格式设置错误导致程序报错或结果不符合预期
bug,环境配置问题,缺少依赖库、硬件驱动问题或环境版本不兼容导致的运行错误
bug,代码实现缺陷,模型转换脚本错误、算子实现问题或采样策略错误导致的推理结果异常
bug,文件路径错误,路径设置错误导致文件无法加载或断言失败
bug,数据处理错误,分词对齐错误、数据集预处理问题或输入形状不匹配导致的数值错误
bug,分布式配置问题,多卡推理/训练时的显存溢出、hccl库缺失或分布式策略错误
bug,功能适配问题,动态组网/图模式下的算子不支持或新旧版本接口不兼容
bug,资源分配问题,硬件设备(NPU/GPU)性能限制导致的推理速度低下或算子执行失败
bug,模型权重问题,checkpoint加载错误或权重转换脚本缺陷导致的推理异常
bug,训练机制异常,学习率未更新、损失不下降或warmup参数未生效等训练过程异常
bug,API接口错误,框架接口参数缺失或接口调用方式不符合文档规范
bug,参数配置错误,内存泄露或分配问题导致程序运行异常
bug,参数传递错误,初始化函数接收到重复或错误参数导致报错
bug,环境配置问题,环境变量或路径设置不正确导致运行错误
bug,框架兼容性问题,不同框架间参数转换或加载错误导致输出异常
bug,代码逻辑错误,代码更新或功能实现错误引发推理或训练失败
bug,资源管理问题,显存不足或内存溢出导致训练或推理中断
bug,数据处理错误,特殊token格式或数据预处理异常导致TypeError
bug,并行计算问题,优化器并行分片与模型并行分片不匹配导致报错
bug,功能兼容性问题,梯度累积与优化器内部不兼容导致执行失败
bug,模型权重错误,参数提取结果与预期不一致或权重切分失败
bug,文档描述错误,文档内容或命令参数说明不清晰导致用户误操作
bug,数值计算异常,概率值含NaN或学习率计算错误导致训练中断
bug,分布式训练问题,CPU亲缘性设置错误或分布式通讯日志异常
bug,脚本执行错误,脚本语法或Docker环境问题导致进程自动退出
bug,精度对齐问题,推理输出生成异常字符或精度未对齐预期
bug,框架异常错误,在MindSpore框架中执行操作时触发未知异常
bug,环境配置错误,缺少必要的依赖库（如mpi4py）导致脚本运行失败
bug,参数设置错误,修改配置文件中的精度参数未生效或参数格式错误
bug,路径配置错误,模型路径设置错误导致离线推理失败
bug,版本兼容性问题,框架/库版本不匹配（如MindSpore 2.2与mindformers 1.0.0不兼容）
bug,资源分配不足,显存/内存不足导致推理或训练失败
bug,并行配置错误,分布式训练参数（dp/mp/pp）设置不当引发RuntimeError
bug,模型导出错误,导出mindir模型时因代码逻辑或环境问题失败
bug,数据处理错误,数据集链接失效或输入数据shape不匹配
bug,权重加载异常,微调时模型权重未正确加载导致效果异常
bug,脚本逻辑错误,运行脚本（如run_distribute.sh）时因内部逻辑错误报错
bug,接口调用错误,调用shard接口或pipeline接口时参数设置不当
bug,算子支持缺陷,框架不支持特定算子（如rmsnorm手动并行）导致功能失效
bug,模型推理异常,生成内容重复/不相关或推理结果与预期不符
bug,动态shape溢出,动态lite推理时出现shape size overflow错误
bug,依赖库缺失,缺少关键模块（如modelfoundry_hub）导致功能异常
bug,符号表缺失,动态库加载失败（如libmindspore_ascend.so.1缺失）
bug,训练收敛异常,微调过程中loss无法降低或准确率下降
bug,输入长度超限,输入文本超过模型最大长度限制导致报错
bug,版本兼容性问题,在特定环境或版本下出现未定义符号错误
bug,权重合成错误,模型转换后推理结果异常（如所有样本输出相同）
bug,代码逻辑错误,生成过程中出现错误或属性缺失导致的异常
bug,并行配置问题,开启细粒度多副本后收敛速度慢或内存不足
bug,参数设置不当,推理或训练过程中因参数错误导致的内存不足或运行错误
bug,环境配置问题,推理过程中出现错误代码或环境相关报错
bug,资源不足,内存或流资源不足导致推理失败
bug,模型转换错误,无法导出模型或转换过程中出现文件问题
bug,框架功能限制,接口不支持多batch推理导致输出混乱
bug,数据处理错误,数据加载或预处理失败导致训练错误
bug,训练参数异常,学习率异常或训练吞吐量低
bug,权重转换问题,推理结果乱码或精度不一致
bug,版本不兼容,新发布模型与框架版本不兼容导致错误
bug,断点续训逻辑错误,加载断点后epoch不一致或训练失败
bug,工具兼容性问题,打包工具或镜像拉取失败
bug,初始化错误,代码初始化问题导致生成报错
bug,采样参数问题,`do_sample=False`时推理结果不唯一
bug,模型实现差异,不同框架下模型精度不一致
bug,环境配置错误,推理时生成结果异常
bug,程序执行超时,微调过程中出现超时报错（E30008）
bug,脚本配置错误,运行脚本时出现报错
bug,参数配置错误,权重自动切分或模型导出报错
bug,参数设置不当,调整模型参数后出现报错（如seq_length、max_decode_length）
bug,软件版本冲突,内存分配错误或OSError
bug,模型构建错误,不同batch_size下编译失败
bug,分布式配置错误,多卡分布式权重切分或推理失败
bug,并行模式配置错误,半自动并行推理失败或VirtualOutput初始化失败
bug,内存不足（OOM）,训练或推理时内存溢出
bug,代码逻辑错误,训练任务异常终止或生成重复子串
bug,资源分配异常,进程无提示终止或推理结果截断
bug,数据预处理错误,数据集处理或tokenizer缺失导致失败
bug,硬件兼容性问题,昇腾设备上安装或推理报错
bug,动态图/静态图模式冲突,图编译失败或生成analyze_fail.ir文件
bug,功能实现缺陷,推理速度慢或结果乱码
bug,API使用错误,模型加载或输入数据类型缺失导致报错
bug,代码规范问题,样例代码格式不统一
bug,环境或配置错误,推理报错、无法生成结果、模块未找到、初始化失败、权重加载失败
bug,代码实现错误,模型训练失败、推理结果混乱、权重转换失败、参数不匹配、动态shape处理错误、索引错误
bug,内存管理问题,内存溢出（OOM）、推理速度极低、内存分配失败
bug,参数设置错误,学习率显示异常、batch_size未生效、切分策略错误、并行配置错误
bug,数据处理或并行策略错误,数据拆分错误、数据集创建失败、动态shape导致编译缓慢、样本长度不统一
bug,依赖或版本兼容性问题,版本更新导致错误、环境适配问题、软件版本冲突
bug,模型收敛问题,训练不收敛、loss始终为0、预测准确度不符合预期
bug,性能问题,推理速度慢、算子切分不均匀导致报错、流式输出重复
bug,权重处理错误,权重保存不全、权重合并失败、切分权重无法加载
bug,接口或参数校验不足,参数类型/范围未校验导致程序异常、数据加载接口错误
bug,编译器或框架限制,Graph模式下print/logger异常、特殊token生成无法停止、框架内置函数限制
bug,代码逻辑错误,微调或推理过程中报错（如TypeError、KeyError、RuntimeError等）
bug,参数配置错误,配置文件或运行参数设置不当导致推理失败或结果异常
bug,环境配置问题,软件版本不兼容或权限设置不当引发功能异常
bug,动态shape支持异常,模型推理时动态shape功能运行失败
bug,资源管理问题,显存溢出（OOM）或设备号参数错误导致进程终止
bug,文件生成异常,未生成预期的输出文件（如transformed_checkpoint、mindir等）
bug,模块缺失或导入错误,缺少必要模块（如mindpet）或tokenizer配置类缺失
bug,模型转换问题,权重转换/模型导出过程出现报错
bug,并行策略错误,多卡推理时结果异常或进程卡死
bug,算法实现问题,推理精度与标杆结果不一致或性能显著下降
bug,文档描述错误,README/CONTRIBUTING文档内容不准确或缺失关键说明
bug,接口调用异常,pipeline/lite接口调用时因参数缺失或配置错误报错
bug,历史信息处理错误,多轮对话因长度限制配置不一致导致历史信息丢失
bug,服务部署问题,推理服务启动后卡住或无法正常响应请求
bug,冗余代码问题,导出脚本存在冗余代码或无效代码段
bug,数据处理错误,评估数据集维度不匹配导致构建失败
bug,预处理错误,数据预处理阶段异常导致训练失败
bug,版本兼容性问题,出现undefined symbol错误，双机无法启动，环境报错
bug,参数或配置设置错误,内存不足，推理结果异常，模型不收敛，乱码输出，学习率异常，推理速度慢，评估报错
bug,资源管理问题,显存溢出，流资源不足，内存不足导致训练失败
