大类,问题的根因,问题的症状描述
bug,模型转换/权重处理问题,无法导出模型，ckpt文件找不到，权重转换问题，文件生成错误
bug,数据预处理错误,数据类型不匹配，数据加载失败，在线数据处理错误
bug,代码逻辑错误,缺少属性或方法，函数调用错误，参数传递错误，训练流程中断
bug,功能支持不足,接口不支持多batch推理，并行模式初始化失败，量化工具包版本问题
bug,环境配置问题,docker镜像拉取失败，依赖包缺失，PyInstaller打包失败
bug,精度不一致问题,框架间模型精度差异，推理结果与预期不一致
bug,训练过程异常,断点续训epoch不匹配，loss收敛异常，吞吐量低下
bug,生成过程错误,输出乱码，推理结果为空，生成结果不唯一
bug,分布式训练问题,多卡推理失败，并行配置导致收敛问题，细粒度多副本性能下降
bug,环境配置错误,安装时出现编译错误/版本冲突导致内存分配错误/昇腾设备未正确安装
bug,分布式训练配置错误,权重自动切分报错/多卡并行推理失败/分布式策略目录为空
bug,模型导出问题,lite导出失败/多卡双动态推理导出mindir报错/静态图生成文件失败
bug,资源管理问题,OOM内存不足/显存分配失败/大模型训练卡死
bug,版本兼容性问题,框架版本与AI软件包不匹配/接口变更导致训练失败
bug,执行超时错误,AI CPU算子执行超时/大规模数据集重建失败
bug,代码逻辑错误,属性缺失导致bmm失败/配置参数错误/数据预处理失败
bug,并行策略错误,半自动并行配置异常/非autoparallel模式训练报错/虚拟输出初始化失败
bug,模型推理异常,生成结果重复/推理结果被截断/生成内容为空
bug,动态图支持不足,双动态推理失败/静态图模式不支持动态batch
bug,功能实现缺陷,flash_attention参数无法开启/流式加载模型失败/策略文件生成异常
bug,硬件适配问题,AICore利用率0%导致推理慢/昇腾310P部署失败
bug,数据格式错误,输入数据类型缺失/预处理脚本卡死/MindRecord生成失败
bug,参数配置不当,学习率不符合论文标准/seq_length超限导致报错
bug,内存管理缺陷,图执行内存分配失败/多线程支持不足导致乱码
bug,兼容性验证不足,Windows环境支持缺陷/新旧版本权重格式不兼容
bug,配置错误,未正确设置include/exclude字段导致所有模块参与微调，增大空间消耗和训练时间
bug,学习率未生效,lr参数显示为0.0
bug,参数传递错误,deviceid和RANKID写反导致模型训练失败
bug,代码适配错误,添加set_remote_save_url后ckpt权重保存不完整
bug,动态shape处理问题,数据集样本长度不统一导致推理耗时增加
bug,环境配置错误,软件配置问题导致推理报错
bug,版本兼容问题,新版本更新引发功能异常
bug,模型层定义错误,转换脚本指定层不存在导致转权重失败
bug,内存溢出,单卡运行时触发OOM错误
bug,策略文件生成错误,训练完成后切分策略文件为空无法合并权重
bug,数据分片逻辑错误,半自动并行下数据拆分不正确
bug,推理逻辑缺陷,多卡推理时未生成结果
bug,编译器兼容问题,Graph模式下使用print/logger出现异常
bug,算子实现错误,推理代码无法正常运行
bug,执行模式精度问题,graph模式下预测准确度不符合预期
bug,参数适配错误,脚本运行时报错导致任务失败
bug,收敛性问题,全参微调时模型不收敛
bug,依赖配置错误,模块未找到或环境依赖异常
bug,权重预拆分支持问题,多卡推理无法加载预拆分权重
bug,损失计算异常,微调过程中loss始终为0
bug,代码执行错误,批处理代码执行报错
bug,路径参数缺失,导出模型时报类型错误
bug,张量索引错误,评测测试时触发索引异常
bug,停止条件缺陷,生成特殊token时无法停止推理
bug,并行参数设置错误,单机/多卡设置参数错误导致报错
bug,参数校验缺失,接口初始化时未校验参数导致异常
bug,数据集创建错误,使用read_function参数创建数据集失败
bug,推理性能低下,模型推理速度极慢（如0.1tokens/s）
bug,动态推理适配问题,双动态推理脚本运行异常
bug,配置字段缺失,导出配置缺少必要字段（如output_dir）
bug,权重加载失败,多卡加载时部分卡无法找到权重目录
bug,参数传递错误,推理阶段参数错误导致运行失败
bug,训练数据异常,数据集训练时触发错误
bug,编译结果异常,源码构建后推理结果混乱
bug,权重配置冲突,多卡推理时自动切分权重配置失效
bug,通信初始化失败,多卡推理初始化报错（如Ascend通信错误）
bug,输入处理错误,新版本下增量推理输入报错
bug,流式输出逻辑错误,与Flask结合时出现重复输出
bug,参数匹配错误,推理时参数不匹配
bug,算力切分不均,多卡切分生成不支持的hccl group
bug,形状不匹配,微调轮数增加后触发shape不等错误
bug,参数未生效,batch_size设置与实际不符
bug,多卡启动异常,多卡推理启动过程报错
bug,推理配置错误,多卡推理无法生成结果
bug,性能不达标,增量推理性能低于预期
bug,内存分配失败,服务初始化时内存分配异常
bug,输入shape不符,推理时检查shape失败
bug,内存不足,推理时batch_size过大触发OOM
bug,参数设置错误,配置文件中的参数设置错误导致报错或推理失败
bug,代码逻辑缺陷,脚本中存在冗余代码、无效代码或逻辑错误导致功能异常
bug,环境配置问题,环境版本不匹配、权限设置不当或依赖缺失导致运行报错
bug,文档描述不准确,文档中的参数说明、硬件要求或流程描述错误导致用户操作失败
bug,资源管理异常,生成的输出文件缺失、权重转换失败或内存溢出导致流程中断
bug,数据处理错误,数据集维度不匹配或预处理不当导致评估/训练失败
bug,模型结构问题,动态shape支持异常、并行策略错误或算法实现缺陷导致精度/性能下降
bug,接口调用错误,API调用参数不符合预期或返回结果未正确输出
bug,硬件适配问题,特定设备（如A100/910B）上出现性能下降或溢出异常
bug,分布式协调异常,多卡推理时出现权重加载错误或结果异常
bug,文件路径问题,代码中引用的脚本/文件夹缺失导致功能不可用
bug,动态shape支持不足,推理时出现维度不匹配或转换失败
bug,特殊符号处理缺陷,Tokenizer对特殊字符处理不当导致编解码错误
bug,版本兼容性问题,框架更新后出现接口不兼容或功能异常
bug,性能优化不足,推理速度显著低于预期或标杆结果
bug,权限配置错误,文件/进程权限不足导致执行中断
bug,并行策略配置错误,无法配置指定并行策略导致训练吞吐性能低下
bug,环境配置不当,特定环境下运行时报错或结果异常
bug,代码逻辑错误,执行过程中出现类型不匹配或参数传递错误
bug,数据格式转换错误,数据转换工具或权重合并过程报错
bug,模型初始化耗时过长,首次推理请求响应速度显著延迟
bug,权重处理异常,权重合并后体积异常或加载失败导致网络评估错误
bug,参数设置错误,分布式训练/推理时因参数配置不当出现进程中断
bug,文档与代码版本不一致,用户根据文档操作时因配置项缺失导致运行失败
bug,资源分配不足,单卡训练时因内存不足导致微调任务中断
bug,算子执行异常,特定操作(如bmm)执行失败导致推理异常终止
bug,流式请求缓存残留,非流式请求返回先前流式请求的结果
bug,性能优化缺陷,多batch场景下模型推理速度不达标或性能劣化
bug,精度对齐问题,权重转换后推理结果与标杆存在差异
bug,分布式通信异常,多卡训练时部分节点无进程占用导致任务失败
bug,随机性控制失效,关闭shuffle后相同种子下生成数据不一致
bug,学习率配置异常,微调过程中日志显示学习率归零
bug,文件权限配置错误,无法读取checkpoint文件
bug,代码逻辑错误,运行示例代码时出现报错
bug,张量形状不匹配,数值错误/形状不匹配
bug,量化模式未生效,内存占用异常
bug,权重加载错误,模型部署后功能异常
bug,内存计算错误,实际内存与显示内存不一致
bug,梯度累积流程异常,梯度累积功能失效
bug,分布式配置错误,多卡训练/推理卡死
bug,增量推理实现缺陷,开启增量推理时报错
bug,模型加载失败,权重未加载/错误信息提示
bug,日志输出控制缺陷,终端信息打印过多
bug,依赖版本不兼容,安装时版本缺失
bug,参数设置错误,推理结果异常/速度异常
bug,硬件兼容性问题,特定硬件环境报错
bug,预处理逻辑缺失,输入超长导致报错
bug,策略文件管理缺陷,多节点任务文件丢失
bug,内存配置不足,内存溢出/显存不足
bug,代码更新不兼容,新版本功能缺失
bug,损失计算错误,训练结果不准确
bug,变量初始化错误,未赋值变量被引用
bug,除法运算异常,ZeroDivisionError报错
bug,随机种子控制缺陷,采样参数失效
bug,性能优化不足,推理速度不达标
bug,标签映射错误,分类结果标签错乱
bug,环境配置错误,多节点部署失败
bug,功能实现缺陷,输出包含输入内容
bug,模型导出配置缺失,缺少必要配置文件
bug,文件访问权限配置不当,无法读取checkpoint文件
bug,模型推理过程错误,sam示例运行报错或推理执行失败
bug,数值形状或范围不匹配,数值错误
bug,量化模式未正确开启,Process Memory占用异常
bug,权重加载或模型加载失败,权重加载错误或模型加载失败信息
bug,内存计算或资源不足,NPU内存计算错误、显存不足或内存溢出
bug,参数或配置文件设置不当,yaml/命令参数错误导致卡住或报错
bug,打印方式不当,使用print导致输出过多影响开发
bug,依赖缺失或版本不符,安装时找不到指定版本依赖
bug,部署或环境配置错误,多卡部署报错或对话服务异常
bug,文档链接或内容不当,文档打开显示违规信息
bug,硬件或进程故障,服务器进程挂掉导致任务失败
bug,性能瓶颈,推理速度慢或性能不达标
bug,数据预处理逻辑缺失,超长输入未截断报错
bug,脚本或函数缺失,更新后函数不存在导致报错
bug,策略或文件丢失,多节点任务策略文件被删除
bug,标签或输出格式错误,输出结果带输入或类别标签不对
bug,数学或代码错误,除零错误或损失计算方法错误
bug,随机种子设置冲突,设置seed导致do_sample参数失效
bug,精度或同步错误,推理精度不正确或同步stream出错
bug,模块或功能支持缺失,web服务不支持指定模型功能
bug,并发处理缺陷,BrokenPipeError崩溃
bug,依赖缺失,KeyError报错
bug,配置文件缺失或为空,配置文件内容为空导致程序异常
bug,参数设置不当,多机多卡训练卡住或收集策略阻塞
bug,版本兼容性问题,不同版本推理/训练时报错
bug,代码逻辑实现错误,推理速度无提升
bug,环境或镜像配置问题,安装或导入时出现警告或报错
bug,硬件适配或资源管理不足,内存占用异常增加
bug,数据格式或维度不匹配,shape不匹配导致报错
bug,随机性未控制,批量推理结果存在随机差异
bug,文档或示例错误,README示例代码或URL拼写错误
bug,依赖冲突,安装过程中报错
bug,缺少库依赖,导入或加载时报错
bug,配置错误,参数设置不当导致KeyError或TypeError
bug,资源耗尽,训练或推理时OOM内存溢出
bug,性能瓶颈,推理或训练速度缓慢
bug,存储开销过大,ckpt保存耗时且占用磁盘过多
bug,模型与配置不匹配,推理时报Graph执行失败
bug,链接错误,文档或页面404无法访问
bug,类型不匹配,运行时出现TypeError异常
bug,形状不匹配,广播失败导致ValueError
bug,环境不兼容,部署或加载时报错
bug,日志信息不完整,日志未打印具体配置
bug,功能未支持,调用功能时提示不支持或缺失
bug,输出乱码,推理结果出现乱码
bug,环境版本不兼容,运行时报错或编译失败导致功能无法执行
bug,参数配置错误,推理或微调时报错、输出异常或结果不正确
bug,模型路径或文件缺失,无法加载模型或配置文件导致报错或结果丢失
bug,数据维度或格式不匹配,数学运算错误或数据转换失败
bug,网络中断或权限问题,模型下载失败、续传失败或读取权限错误
bug,日志或输出模式不当,仅显示最后一条结果或完全没有输出
bug,硬件适配性或驱动不支持,在特定硬件（如Ascend、GPU多卡）上运行失败
bug,性能瓶颈,推理或训练时间过长，性能低下
bug,分布式通信或配置错误,多卡/多机训练出现通信失败或参数同步问题
bug,脚本逻辑或引用错误,KeyError、引用包失败或相对/绝对导入冲突
bug,算子编译错误,推理编译失败导致无法运行
bug,广播机制不兼容,多头注意力mask与score无法broadcast
bug,配置参数设置不当,训练/微调时报错或加载策略失败
bug,数据格式或形状不匹配,训练报错或损失异常如loss始终为0
bug,环境或版本不兼容,运行报错或预训练权重加载失败
bug,文件或依赖缺失,训练任务中断或模块导入失败
bug,文档链接失效,无法访问文档或下载模型文件
bug,硬件资源管理问题,NPU使用率下降或显存不足
bug,API或函数弃用,运行时报错提示需更新接口
bug,性能优化不足,推理或训练速度过慢
bug,分布式断点续训加载顺序错误,加载非最新ckpt导致异常
bug,回调或监控逻辑缺陷,only_save_strategy或epoch上传失败
bug,默认配置逻辑错误,误走错误模型分支或策略合并异常
question,示例代码或文档不清晰,用户对参数含义或代码预期产生疑问
question,示例代码错误,用户对文档中代码逻辑产生疑问
bug,版本兼容性问题,导入失败报错
bug,缺少属性或接口,AttributeError错误
bug,配置参数错误,训练/推理过程报错
bug,代码逻辑缺陷,训练崩溃或报错
bug,权重加载或转换错误,推理速度缓慢或转换后shape不匹配
bug,并行或分布式支持不足,流水线并行报错或并行模式切换错误
bug,硬件资源调用或适配问题,NPU资源调用失败或OSError
bug,性能问题(慢或高内存),推理或训练性能退化
bug,数据预处理或读取错误,模块导入失败或数据类型错误
bug,模型切片或自动切片支持不足,OOM
bug,第三方依赖版本不支持,依赖导入报错
bug,终止符解码逻辑不足,解码失败
bug,索引复杂度或校验条件不合理,维护困难或报错
bug,拼写或接口调用错误,接口调用不存在
bug,训练断点续训失败,自动加载checkpoint不符合预期
bug,日志打印不一致,打印值混乱
bug,配置参数传递错误,接口报错
bug,代码实现错误,运行失败
bug,模块导入或路径配置错误,模块导入失败
bug,缺少必需参数,TypeError 异常
bug,版本判断或版本不兼容,测试用例无法通过
bug,环境或硬件配置不匹配,报错并停止运行
bug,接口不支持特定模式,GPU 模式下报错
bug,配置项定义与模型实现不一致,模型初始化或训练失败
bug,依赖版本未指定,下载时报数值错误
bug,隐藏或弃用接口被错误调用,功能无法正常运行
bug,参数命名或逻辑混淆,脚本启动失败
bug,重复进程占用资源,训练启动失败
bug,数据泄露或混淆,训练结果异常
bug,缺少依赖库或模块,无法调用功能
bug,日志或状态计算逻辑错误,日志输出与实际不一致
bug,代码逻辑错误,run_mindformer.py脚本无法覆盖所有入参需求，导致功能缺失
bug,代码逻辑错误,非encoderdecoder模型调用model.generate时报错
bug,代码逻辑错误,数据集batchsize设置与实际运行不一致
bug,代码逻辑错误,门禁系统无法识别错误代码导致问题PR通过
bug,代码逻辑错误,下载模块不支持断点续传导致网络不稳定时失败
bug,代码逻辑错误,Windows平台路径识别异常
bug,代码逻辑错误,Eval回调函数错误调用训练回调
bug,代码逻辑错误,推理接口修改引发FeatureExtractor逻辑异常
bug,模块设计缺陷,__all__导入包规范不统一
bug,模块设计缺陷,common文件夹重命名引发兼容问题
bug,模块设计缺陷,冗余模块未清理导致运行异常
bug,模块设计缺陷,API名称重复导致告警刷屏
bug,配置管理问题,配置文件修改导致分布式训练报错
bug,配置管理问题,Model Config默认值None导致实例化失败
bug,配置管理问题,并行配置保存格式不友好
bug,配置管理问题,参数命名不规范导致yaml加载失败
bug,依赖管理问题,build.sh未自动安装mindformers包
bug,依赖管理问题,requirements缺少yaml依赖
bug,依赖管理问题,whl包安装权限不足
bug,权重管理问题,checkpoint与网络结构不匹配
bug,权重管理问题,from_pretrained方法未实际加载权重
bug,权重管理问题,模型转换后参数数量不匹配
bug,数据对齐问题,GPT数据生成未对齐导致效果复现失败
bug,数据对齐问题,T5精度偏差
bug,训练框架问题,Trainer接口无法同时调用train/evaluate/predict
bug,训练框架问题,resume_or_finetune_from_checkpoint参数失效
bug,文档规范问题,Readme文件格式不对齐
bug,文档规范问题,Task Trainer Examples缺乏规范
bug,硬件适配问题,CPU服务器代码未更新
bug,硬件适配问题,半自动并行模式运行异常
bug,功能实现缺失,mindspore.nn.transformer中T5模型缺少Beam_Search推理代码导致无法上线
bug,接口设计缺陷,pretrain_t5.py的get_model_config函数缺少输入参数引发seq_length与position_embedding不一致
bug,版本兼容性问题,优化器参数调用方式与r1.6之前版本不兼容导致参数识别失败
question,功能实现状态不明确,询问特定功能是否已实现或可用
question,模型适配情况不明确,询问特定模型是否适配当前硬件或框架版本
question,兼容性问题,询问框架版本、硬件设备或第三方库的兼容性
question,文档缺失,用户无法找到相关功能的说明或操作指南
question,参数配置混淆,用户对参数含义、区别或配置方式存在疑问
question,操作流程不清晰,用户对分布式训练、权重转换等操作步骤不了解
question,功能支持范围不明确,询问特定功能（如并发支持、CPU推理等）是否可用
question,性能问题,用户对训练/推理效率或模型效果存在疑问
question,概念理解偏差,用户对专业术语或技术概念存在理解困惑
bug,接口缺失,模型权重加载失败或API调用异常
question,环境配置问题,用户在特定硬件环境或分布式场景下遇到运行错误
question,框架功能比较,用户询问框架性能指标或与竞品的功能差异
question,框架功能使用说明不明确,用户询问如何执行特定模型微调步骤
question,接口参数配置说明缺失,用户咨询如何调整保存ckpt文件数量的限制
question,日志系统配置文档不完善,用户设置GLOG_v=1无效时询问日志显示配置方法
question,数据格式规范说明不清晰,用户对微调过程数据格式理解存在歧义
question,依赖管理说明缺失,用户询问requirements.txt未列明的mindspore依赖和Python版本要求
requirement,功能需求变更或设计不完善,需要补充模块用例/测试覆盖率不足
requirement,接口开放不足,缺乏内部接口调用说明文档
requirement,版本管理机制缺失,需要增加模块版本校验功能
requirement,优先级设置不合理,用例优先级需要调整
requirement,文档标准化不足,环境搭建流程需要统一规范
requirement,版本更新需求,需要升级依赖库版本
requirement,功能支持缺失,需要新增多机多卡训练指导
requirement,兼容性支持不足,需要适配新硬件/新模型
requirement,配置参数缺失,缺少权重过滤/时延统计等配置项
requirement,训练支持不完整,需要补充微调训练示例
requirement,可视化功能缺失,缺少进度条等用户体验优化
requirement,算法优化需求,需要调整归一化/初始化参数
requirement,代码冗余问题,存在冗余代码影响扩展性
requirement,环境配置机制不完善,环境变量获取方式需要改进
requirement,文档维护滞后,需要补充参数说明/训练指导
requirement,监控功能不完善,指标监控配置项需要整合
requirement,性能优化需求,需要调整分布式加载策略
requirement,调试工具不足,需要profiler等级调整支持
requirement,训练流程优化,需要修改sink_size参数设置
requirement,权重管理缺陷,需要改进权重保存过滤机制
requirement,部署支持不足,需要确认商用并发推理能力
requirement,动态batch支持缺失,推理时无法动态改变batch数量，需部署动态batch解决方案
requirement,版本依赖管理不足,官方最高版本与依赖版本不匹配导致兼容性问题
requirement,评测功能不完善,微调后模型缺乏标准化评测结果输出能力
requirement,新模型适配滞后,用户询问特定模型（如GLM3Lora/Mixtral8x7B/Qwen2VL72B等）的适配支持计划
requirement,硬件支持不完整,用户询问特定硬件（如Atlas800A2/910A）上的训练/推理可行性
requirement,训练监控指标缺失,训练日志缺乏TFLOPs/数据加载时长/计算时长等关键性能指标
requirement,模型转换工具缺失,缺乏模型格式转换工具（如safetensors转换/HuggingFace模型转换）
requirement,分布式推理指导不足,用户需要单卡与分布式推理的步骤说明及差异对比
requirement,多模态支持不足,用户询问千亿级多模态模型（如llavanext110b/cogvlm）适配计划
requirement,配置管理不清晰,配置文件（yaml）缺乏明确的区分标准和用途说明
requirement,部署指导不完整,用户需要模型部署（如qwen2系列）的具体操作指导
requirement,训练流程支持不足,用户需要RLHF微调等特定训练方法的实现指导
requirement,文档体系不完善,存在模型关联文件混淆（如llama/llama2）、操作指南缺失等问题
requirement,并发推理支持缺失,框架缺乏并发推理功能及相关组件说明
requirement,数据加载灵活性不足,数据集加载仅支持OBS格式导致预处理效率低下
question,API使用说明不明确,用户无法正确获取模型与tokenizer（如Qwen2ForCausalLM）
question,日志管理功能不足,用户需要日志输出到k8s pod及添加时间戳定位问题
question,动态组网指导缺失,动态组网缺乏相关说明和参考脚本
bug,参数配置优化不足,梯度聚合参数设置不合理导致训练速度未达最优
bug,多卡调度异常,多卡推理时部分进程异常终止
bug,功能兼容性问题,框架版本与硬件环境（如HDK/CANN版本）存在兼容冲突
requirement,模型/权重适配不支持,无法使用微调后的权重进行推理
requirement,接口功能缺失,无法自定义StoppingCriteria
requirement,模型转换支持不足,无法在评估时正确转换模型格式
requirement,功能逻辑不统一,不同模块之间逻辑分支不一致导致调用混乱
requirement,平台镜像缺失,缺少x86官方镜像无法在x86机器上运行推理
requirement,数据格式转换不支持,无法将inputs_embeds转换为input_ids
requirement,量化推理支持缺失,不支持模型量化或分布式量化推理
requirement,多卡/多机分布式支持不足,无法在千兆/万兆网络环境下实现多卡并行推理或训练
requirement,文档不充分,缺乏配置参数和使用示例导致无法理解或操作
requirement,性能优化需求,推理时延过高或出现重复内容输出
requirement,特定模型/库适配缺失,无法使用OpenAI API或FlashAttention等新特性
requirement,日志级别控制缺失,无法通过参数调整日志打印级别
requirement,终止机制缺失,流式推理过程中无法中断或提前结束
requirement,预训练功能不足,无法对大模型进行增量预训练
requirement,自动化流程缺失,微调后无法自动合并或发布权重
requirement,功能支持缺失,用户无法在特定硬件或平台上运行或部署模型
requirement,接口功能缺失,缺少API/Web接口或高阶接口，无法远程调用或实时评估模型
requirement,数据处理能力不足,数据集加载格式单一且无法增量更新
requirement,架构耦合过高,核心代码与新增特性未解耦，导致模块化和扩展性差
requirement,参数配置缺失,缺少自动化参数设置或前置校验功能
question,文档不完善,文档说明不全或不一致，用户无法通过文档完成操作
question,使用方法不明确,命令参数或接口用法不清晰，用户对功能调用产生疑惑
bug,实现缺陷,功能运行时报OOM、反向传播缺失或输出不一致等异常
bug,日志与错误信息不清晰,错误信息不明显或配置打印与实际输入不符，难以定位问题
question,模型支持缺失,用户询问特定模型或特性（如Llama2/codellama/VideoLLaMA/Baichuan13B等）是否被框架支持，导致无法确认可用性
question,部署兼容性问题,用户询问在特定硬件平台（如GPU、昇腾、310/910推理卡）上能否部署或执行推理，导致无法开展相关工作
requirement,数据/输入格式不匹配,数据集格式与大模型输入格式不一致，需手动转换或编写脚本以完成微调和评估
requirement,配置项命名及文档不一致,YAML/JSON配置项命名差异或文档描述与实际脚本不符，导致配置加载失败或用户疑惑
requirement,接口功能缺失,Pipeline/API不支持指定权重加载、路径选择或分布式合并文件，导致无法按需执行评估与推理
requirement,日志与监控功能不足,日志输出结构及内容不完善，无法记录文件、行号或性能信息，难以调试和定位问题
requirement,性能及资源优化需求,缺少训练/评估时间统计、存储可训练参数或分块拉取超大文件的功能，导致资源浪费或不易监控
requirement,配置与版本管理混乱,版本管理分散或配置文件中存在多重参数（如batch size），导致维护困难和使用混淆
requirement,分布式与并行处理支持缺失,不支持多线程并发输入或分布式后合并权重路径选择，导致无法并行推理或评估
requirement,示例及文档不足,缺少关键使用示例（如RLHF例子、eval_dataset制作、export.py导出脚本），导致新手难以复现或使用
requirement,导出部署支持不足,无法生成.air或.onnx文件以部署推理接口
requirement,配置管理不便,需频繁修改配置文件进行调试且无法通过命令行修改
requirement,文档及流程不完善,PR评审流程、分布式启动方式、日志和API文档注释不完整
requirement,分布式与并行能力支持不足,无法查看或使用多级多卡、各并行策略及分布式启动方式
requirement,训练与评估功能缺失,无法在训练过程中执行评估脚本或通过resume_checkpoint_path恢复训练
requirement,接口设计与一致性问题,Generator、Trainer 高阶接口、Predict、zeroshotimageclassification 等功能接口缺失或行为不一致
requirement,模型集成与适配不足,缺少对T5、Pegasus、XLM-ROBERTA、Flan-T5、盘古大模型、昇思羲和等模型的适配、权重自动下载及下游任务支持
requirement,安装与打包问题,无 pip wheel 安装方式，打包时未去除 tests 文件夹，安装和依赖管理体验差
requirement,其他组件与命名问题,batch size 与网络构造耦合、LR 组件重复、变量命名不统一、词表配置存放不合理
requirement,功能支持缺失,用户无法使用所需功能（如批量处理、脚本推理、BeamSearch 等）
requirement,模型兼容性缺失,框架不支持特定模型或骨干网络（如 Swinv2、simmim、MAE、BERT 等）
requirement,配置项缺失,无法保存或修改相关配置（如 Trainer 配置保存、动态 LossScale 等）
requirement,文档不完善,文档说明不清晰导致用户困惑或误用
requirement,API 一致性问题,接口设计与主流库（如 HuggingFace）不对齐，使用复杂或报错
requirement,命名/路径混淆,错误命名或路径说明不清晰导致功能运行失败
requirement,打包与安装缺失,无法通过 pip 安装或打包测试失败
requirement,测试用例缺失,缺少接口测试用例导致质量保障不足